0.175,0.133149,-0.0698327,0.0213639,0.00161481,-0.00606246,0.000584812,-0.000177319,-0.000375521,0.000541872,0.000808983
0.18,0.134699,-0.0697189,0.0202729,0.00213856,-0.00599031,0.000299892,-0.0001907,-0.000312873,0.000540779,0.00082892
0.185,0.136223,-0.0695769,0.0191778,0.0026244,-0.00589063,2.16162e-05,-0.00022251,-0.000247727,0.000546117,0.000845916
0.19,0.137722,-0.0694077,0.0180796,0.00307241,-0.00576533,-0.000248351,-0.000272128,-0.000181578,0.000558047,0.000860903
0.195,0.139197,-0.0692122,0.0169791,0.00348269,-0.00561629,-0.000508476,-0.000338824,-0.000115866,0.000576611,0.000874795
0.2,0.140649,-0.0689912,0.015877,0.00385536,-0.00544533,-0.000757353,-0.000421762,-5.19701e-05,0.000601733,0.00088847
0.205,0.142079,-0.0687454,0.0147742,0.00419054,-0.00525423,-0.000993691,-0.000520018,8.79747e-06,0.000633234,0.000902755
0.21,0.143487,-0.0684755,0.0136715,0.00448836,-0.00504475,-0.00121631,-0.000632586,6.52001e-05,0.000670831,0.000918419
0.215,0.144875,-0.0681822,0.0125695,0.004749,-0.00481862,-0.00142415,-0.000758386,0.000116082,0.000714149,0.000936162
0.22,0.146242,-0.067866,0.0114691,0.00497261,-0.00457752,-0.00161624,-0.000896274,0.000160371,0.000762725,0.000956602
0.225,0.147591,-0.0675276,0.0103709,0.00515939,-0.00432314,-0.00179171,-0.00104505,0.000197087,0.000816015,0.000980278
0.23,0.14892,-0.0671674,0.00927562,0.00530954,-0.00405712,-0.0019498,-0.00120346,0.000225344,0.000873403,0.00100764
0.235,0.150231,-0.0667859,0.00818404,0.00542329,-0.00378109,-0.00208985,-0.00137022,0.000244352,0.000934207,0.00103904
0.24,0.151525,-0.0663837,0.00709684,0.00550088,-0.00349665,-0.00221128,-0.00154399,0.000253422,0.000997686,0.00107475
0.245,0.152801,-0.0659611,0.00601471,0.00554258,-0.00320541,-0.00231361,-0.00172342,0.000251968,0.00106305,0.00111493
0.25,0.15406,-0.0655186,0.00493836,0.00554868,-0.00290894,-0.00239646,-0.00190714,0.00023951,0.00112947,0.00115966
0.255,0.155303,-0.0650567,0.0038685,0.0055195,-0.00260879,-0.00245954,-0.00209375,0.000215673,0.00119607,0.00120891
0.26,0.15653,-0.0645756,0.00280582,0.00545537,-0.0023065,-0.00250265,-0.00228185,0.000180189,0.00126196,0.00126258
0.265,0.157741,-0.0640758,0.00175103,0.00535667,-0.0020036,-0.00252568,-0.00247003,0.000132901,0.00132624,0.00132046
0.27,0.158936,-0.0635577,0.000704844,0.0052238,-0.00170158,-0.00252863,-0.00265692,7.37583e-05,0.00138798,0.00138226
0.275,0.160116,-0.0630215,-0.000332044,0.00505718,-0.00140194,-0.00251157,-0.00284112,2.81883e-06,0.00144627,0.00144762
0.28,0.161281,-0.0624677,-0.00135892,0.00485727,-0.00110613,-0.00247467,-0.00302127,-7.9752e-05,0.00150018,0.00151608
0.285,0.162432,-0.0618966,-0.00237509,0.00462457,-0.000815601,-0.0024182,-0.00319604,-0.000173683,0.00154884,0.00158712
0.29,0.163568,-0.0613086,-0.00337983,0.00435961,-0.000531759,-0.0023425,-0.00336412,-0.000278598,0.00159136,0.00166015
0.295,0.16469,-0.0607039,-0.00437244,0.00406295,-0.000255998,-0.00224801,-0.00352427,-0.000394021,0.00162691,0.00173453
0.3,0.165798,-0.0600828,-0.00535221,0.00373519,1.03214e-05,-0.00213527,-0.00367525,-0.000519375,0.0016547,0.00180956
0.305,0.166891,-0.0594458,-0.00631845,0.00337698,0.00026587,-0.0020049,-0.00381592,-0.00065399,0.00167398,0.00188449
0.31,0.167972,-0.0587931,-0.00727044,0.00298898,0.000509352,-0.0018576,-0.00394518,-0.000797104,0.00168406,0.00195853
0.315,0.169038,-0.0581251,-0.00820751,0.00257192,0.000739508,-0.00169415,-0.004062,-0.000947869,0.00168433,0.00203088
0.32,0.170092,-0.057442,-0.00912895,0.00212654,0.000955118,-0.00151544,-0.00416542,-0.00110535,0.00167422,0.0021007
0.325,0.171132,-0.0567443,-0.0100341,0.00165365,0.00115501,-0.00132239,-0.00425456,-0.00126856,0.00165326,0.00216714
0.33,0.172159,-0.0560321,-0.0109222,0.00115406,0.00133804,-0.00111605,-0.00432864,-0.0014364,0.00162106,0.00222935
0.335,0.173173,-0.0553058,-0.0117928,0.000628653,0.00150314,-0.000897505,-0.00438695,-0.00160775,0.00157733,0.00228648
0.34,0.174175,-0.0545658,-0.012645,7.83368e-05,0.00164928,-0.000667926,-0.00442889,-0.00178143,0.00152184,0.0023377
0.345,0.175163,-0.0538123,-0.0134782,-0.000495943,0.00177548,-0.000428544,-0.00445395,-0.00195618,0.0014545,0.00238219
0.35,0.176139,-0.0530458,-0.014292,-0.0010932,0.00188082,-0.000180651,-0.00446174,-0.00213075,0.00137528,0.00241919
0.355,0.177103,-0.0522664,-0.0150855,-0.00171242,0.00196446,7.44057e-05,-0.00445197,-0.00230382,0.0012843,0.00244794
0.36,0.178054,-0.0514745,-0.0158582,-0.00235255,0.00202559,0.00033523,-0.00442445,-0.00247407,0.00118174,0.00246775
0.365,0.178993,-0.0506705,-0.0166097,-0.00301251,0.00206351,0.000600379,-0.00437912,-0.00264018,0.00106792,0.002478
0.37,0.17992,-0.0498546,-0.0173392,-0.00369116,0.00207756,0.000868376,-0.00431603,-0.00280081,0.00094325,0.00247811
0.375,0.180835,-0.0490273,-0.0180462,-0.00438738,0.00206716,0.00113771,-0.00423534,-0.00295463,0.000808244,0.00246757
0.38,0.181737,-0.0481887,-0.0187304,-0.00509997,0.00203181,0.00140685,-0.00413734,-0.00310035,0.000663529,0.00244599
0.385,0.182628,-0.0473393,-0.0193911,-0.00582776,0.00197108,0.00167423,-0.00402243,-0.00323668,0.000509826,0.002413
0.39,0.183507,-0.0464794,-0.0200279,-0.0065695,0.00188463,0.0019383,-0.00389112,-0.00336241,0.000347958,0.00236838
0.395,0.184375,-0.0456092,-0.0206405,-0.00732397,0.00177219,0.0021975,-0.00374404,-0.00347635,0.000178836,0.00231196
0.4,0.185231,-0.0447292,-0.0212283,-0.0080899,0.00163359,0.00245026,-0.00358194,-0.00357738,3.46175e-06,0.00224371
0.405,0.186075,-0.0438397,-0.021791,-0.00886603,0.00146871,0.00269503,-0.00340566,-0.00366446,-0.000177085,0.00216366
0.41,0.186908,-0.0429409,-0.0223284,-0.00965106,0.00127755,0.0029303,-0.00321615,-0.00373661,-0.00036165,0.00207198
0.415,0.18773,-0.0420332,-0.02284,-0.0104437,0.00106017,0.00315456,-0.00301448,-0.00379297,-0.000549016,0.00196892
0.42,0.188541,-0.041117,-0.0233256,-0.0112427,0.000816718,0.00336636,-0.00280178,-0.00383276,-0.000737907,0.00185486
0.425,0.18934,-0.0401925,-0.023785,-0.0120466,0.000547437,0.00356427,-0.00257929,-0.0038553,-0.000927004,0.00173027
0.43,0.190129,-0.0392601,-0.0242179,-0.0128543,0.00025264,0.00374694,-0.00234833,-0.00386004,-0.00111495,0.00159574
0.435,0.190907,-0.0383201,-0.0246243,-0.0136645,-6.72754e-05,0.00391306,-0.00211028,-0.00384654,-0.00130036,0.00145194
0.44,0.191674,-0.0373728,-0.0250039,-0.0144758,-0.000411833,0.0040614,-0.0018666,-0.00381451,-0.00148185,0.00129967
0.445,0.19243,-0.0364186,-0.0253566,-0.0152869,-0.00078048,0.00419079,-0.0016188,-0.00376377,-0.001658,0.00113979
0.45,0.193177,-0.0354577,-0.0256824,-0.0160967,-0.00117259,0.00430015,-0.00136843,-0.00369428,-0.00182745,0.000973275
